,age,body_type,diet,drinks,drugs,height,income,job,orientation,sex,sign,smokes,status,diet_modifier,education_status,education_institution,ethnicities_indian,ethnicities_native_american,ethnicities_middle_eastern,ethnicities_asian,ethnicities_white,ethnicities_black,ethnicities_other,ethnicities_pacific_islander,ethnicities_hispanic_/_latin,offspring_status,offspring_future,pets_cats,pets_dogs,religion_type,religion_modifier,sign_modifier,speaks_english,speaks_spanish,speaks_french,speaks_c++,speaks_chinese,speaks_japanese,speaks_german,speaks_italian
27602,19,average,anything,socially,sometimes,69.0,20000.0,student,straight,m,scorpio,no,single,mostly,working on,college/university,0,0,1,0,0,0,0,0,0,doesn't have kids,wants,likes cats,has dogs,agnosticism,laughing about it,but it doesn't matter,1,1,0,0,0,0,0,0
27767,24,average,anything,socially,sometimes,66.0,20000.0,artistic / musical / writer,straight,f,aries,no,single,mostly,graduated from,college/university,0,0,0,0,0,0,0,0,1,doesn't have kids,wants,likes cats,likes dogs,agnosticism,not too serious about it,and it's fun to think about,1,1,0,0,0,0,0,0
27771,31,jacked,anything,socially,never,70.0,60000.0,hospitality / travel,straight,m,virgo,when drinking,single,strictly,graduated from,college/university,0,0,0,0,0,0,1,0,1,doesn't have kids,wants,has cats,has dogs,other,somewhat serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
27939,38,athletic,anything,socially,never,72.0,150000.0,sales / marketing / biz dev,straight,m,taurus,no,single,mostly,dropped out of,masters program,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,other,not too serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
28044,25,skinny,anything,rarely,never,72.0,20000.0,computer / hardware / software,straight,m,scorpio,no,single,mostly,working on,space camp,1,1,1,1,1,1,1,1,1,doesn't have kids,doesn't want,has cats,likes dogs,agnosticism,laughing about it,but it doesn't matter,1,0,0,1,0,0,0,0
28067,21,overweight,anything,socially,never,72.0,20000.0,student,straight,m,capricorn,no,single,mostly,working on,college/university,0,0,0,0,0,1,0,0,0,doesn't have kids,might want,likes cats,likes dogs,agnosticism,not too serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
28085,43,jacked,anything,often,sometimes,72.0,1000000.0,other,straight,m,gemini,no,single,strictly,working on,ph.d program,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,buddhism,laughing about it,and it's fun to think about,1,0,1,0,0,0,0,0
28096,19,skinny,vegetarian,socially,never,65.0,20000.0,student,straight,f,virgo,sometimes,single,mostly,working on,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,doesn't want,likes cats,likes dogs,agnosticism,not too serious about it,but it doesn't matter,1,1,0,0,0,0,1,0
28133,32,fit,vegetarian,socially,never,62.0,70000.0,political / government,straight,f,gemini,no,single,mostly,graduated from,masters program,0,0,0,0,0,0,1,0,0,doesn't have kids,wants,likes cats,likes dogs,judaism,somewhat serious about it,and it's fun to think about,1,1,0,0,0,0,0,0
28195,43,athletic,anything,socially,never,67.0,100000.0,sales / marketing / biz dev,straight,m,taurus,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,judaism,not too serious about it,and it's fun to think about,1,1,0,0,0,0,0,0
28198,46,curvy,anything,socially,never,66.0,80000.0,medicine / health,straight,f,pisces,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,has kids,doesn't want,likes cats,has dogs,christianity,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
28349,30,a little extra,other,rarely,never,71.0,20000.0,hospitality / travel,straight,m,pisces,no,single,mostly,no specified educational status,two-year college,0,0,0,0,1,0,0,0,0,has a kid,might want,likes cats,likes dogs,catholicism,not too serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
28371,44,thin,anything,socially,never,63.0,70000.0,law / legal services,straight,f,aries,no,single,mostly,graduated from,two-year college,0,0,0,0,0,0,0,0,1,has kids,might want,likes cats,has dogs,other,not too serious about it,and it's fun to think about,1,1,0,0,0,0,0,0
28403,32,athletic,anything,rarely,never,73.0,100000.0,sales / marketing / biz dev,straight,m,aquarius,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,has kids,might want,likes cats,likes dogs,other,laughing about it,and it's fun to think about,1,1,0,0,0,0,0,1
28469,55,average,anything,socially,never,68.0,80000.0,executive / management,straight,f,cancer,no,single,mostly,graduated from,masters program,0,0,0,0,0,1,0,0,0,doesn't have kids,doesn't want,likes cats,likes dogs,christianity,not too serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
28547,44,fit,anything,rarely,never,72.0,100000.0,science / tech / engineering,straight,m,cancer,sometimes,single,mostly,working on,masters program,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,other,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
28646,21,skinny,anything,very often,often,68.0,1000000.0,entertainment / media,straight,m,libra,no,single,strictly,dropped out of,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,doesn't want,likes cats,likes dogs,agnosticism,laughing about it,but it doesn't matter,1,0,0,0,0,0,0,0
28745,27,athletic,anything,socially,never,70.0,20000.0,construction / craftsmanship,straight,m,scorpio,trying to quit,single,mostly,graduated from,two-year college,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,catholicism,laughing about it,and it's fun to think about,1,0,0,0,0,0,0,0
28774,28,athletic,anything,socially,never,68.0,1000000.0,student,straight,m,aries,no,single,mostly,graduated from,college/university,0,0,0,1,0,0,0,0,0,doesn't have kids,might want,has cats,has dogs,atheism,laughing about it,and it's fun to think about,1,1,0,0,1,0,0,0
28780,28,overweight,other,socially,never,70.0,30000.0,other,bisexual,f,taurus,no,married,no specified diet modifier,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,other,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
28785,20,athletic,anything,rarely,never,69.0,20000.0,student,straight,m,virgo,no,single,mostly,working on,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,doesn't want,likes cats,likes dogs,atheism,laughing about it,but it doesn't matter,1,0,0,0,0,1,0,0
28792,37,a little extra,anything,socially,never,67.0,100000.0,computer / hardware / software,straight,m,gemini,no,single,no specified diet modifier,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,has cats,likes dogs,atheism,somewhat serious about it,and it's fun to think about,1,0,1,1,0,0,0,0
28869,27,curvy,anything,rarely,often,66.0,30000.0,other,straight,m,libra,yes,available,strictly,graduated from,college/university,0,0,0,1,1,0,0,0,0,doesn't have kids,might want,likes cats,has dogs,other,not too serious about it,and it's fun to think about,1,0,0,0,0,1,0,0
28978,28,fit,anything,socially,never,66.0,100000.0,sales / marketing / biz dev,straight,m,capricorn,no,single,no specified diet modifier,graduated from,space camp,0,0,0,0,1,0,0,0,1,doesn't have kids,might want,likes cats,likes dogs,atheism,not too serious about it,but it doesn't matter,1,1,0,0,0,0,0,0
29065,21,curvy,anything,socially,sometimes,65.0,20000.0,student,straight,f,sagittarius,no,single,mostly,working on,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,other,laughing about it,and it's fun to think about,1,0,1,0,0,0,0,0
29232,36,average,anything,not at all,never,67.0,40000.0,other,straight,m,aquarius,no,single,no specified diet modifier,working on,college/university,0,0,0,0,0,0,0,0,1,doesn't have kids,wants,likes cats,likes dogs,catholicism,not too serious about it,and it's fun to think about,1,1,0,0,0,0,0,0
29395,30,used up,anything,very often,sometimes,71.0,50000.0,hospitality / travel,straight,m,gemini,when drinking,single,mostly,graduated from,space camp,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,has dogs,atheism,very serious about it,and it matters a lot,1,0,0,0,1,0,0,0
29401,27,full figured,anything,socially,never,67.0,80000.0,law / legal services,straight,f,taurus,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,has cats,likes dogs,judaism,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
29426,27,fit,anything,socially,sometimes,68.0,70000.0,science / tech / engineering,straight,m,pisces,sometimes,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,agnosticism,somewhat serious about it,but it doesn't matter,1,0,0,0,1,0,0,0
29494,24,used up,anything,often,sometimes,71.0,40000.0,artistic / musical / writer,bisexual,f,capricorn,trying to quit,available,strictly,dropped out of,space camp,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,has cats,likes dogs,agnosticism,laughing about it,but it doesn't matter,1,0,1,0,0,0,1,0
29605,39,athletic,anything,socially,sometimes,72.0,100000.0,other,straight,m,aries,no,single,mostly,graduated from,masters program,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,agnosticism,somewhat serious about it,but it doesn't matter,1,0,0,0,0,0,1,0
29681,28,fit,anything,socially,never,71.0,80000.0,science / tech / engineering,straight,m,aries,trying to quit,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,christianity,not too serious about it,and it's fun to think about,1,1,0,1,0,0,0,0
29874,34,average,vegetarian,rarely,never,63.0,20000.0,retired,straight,f,leo,no,single,strictly,graduated from,college/university,0,0,0,0,0,1,0,0,0,doesn't have kids,doesn't want,likes cats,likes dogs,christianity,somewhat serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
29892,29,skinny,anything,not at all,never,72.0,70000.0,entertainment / media,straight,m,scorpio,no,single,mostly,graduated from,ph.d program,0,0,0,0,1,0,0,0,0,doesn't have kids,doesn't want,likes cats,likes dogs,agnosticism,laughing about it,but it doesn't matter,1,0,1,0,0,0,0,0
30125,28,athletic,anything,socially,never,71.0,150000.0,science / tech / engineering,straight,m,aries,no,single,strictly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,judaism,laughing about it,but it doesn't matter,1,1,0,1,0,0,0,0
30131,43,thin,anything,not at all,never,71.0,100000.0,political / government,straight,m,leo,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,agnosticism,not too serious about it,but it doesn't matter,1,1,0,0,0,0,0,0
30177,26,thin,anything,rarely,never,68.0,30000.0,sales / marketing / biz dev,straight,f,libra,no,single,mostly,working on,college/university,0,0,0,1,0,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,christianity,very serious about it,but it doesn't matter,1,1,0,0,0,1,0,0
30178,41,skinny,anything,not at all,never,69.0,250000.0,computer / hardware / software,straight,m,capricorn,no,single,mostly,graduated from,college/university,0,0,0,1,0,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,atheism,laughing about it,but it doesn't matter,1,0,0,0,1,0,0,0
30239,48,fit,anything,socially,never,71.0,100000.0,law / legal services,straight,m,sagittarius,no,single,strictly,graduated from,law school,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,christianity,not too serious about it,but it doesn't matter,1,0,0,0,1,0,0,0
30325,36,average,anything,socially,never,71.0,40000.0,computer / hardware / software,straight,m,aries,no,single,no specified diet modifier,graduated from,high school,0,0,0,1,0,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,buddhism,somewhat serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
30375,59,athletic,anything,socially,never,72.0,150000.0,science / tech / engineering,straight,m,taurus,no,single,mostly,graduated from,ph.d program,0,0,0,0,1,0,0,0,0,has a kid,doesn't want,likes cats,likes dogs,judaism,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
30385,35,curvy,anything,socially,never,67.0,40000.0,education / academia,straight,f,capricorn,no,single,mostly,graduated from,masters program,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,has dogs,christianity,somewhat serious about it,but it doesn't matter,1,1,1,0,0,0,0,1
30399,35,average,anything,socially,never,66.0,80000.0,political / government,straight,m,sagittarius,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,catholicism,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
30400,23,athletic,anything,socially,never,73.0,30000.0,other,straight,m,capricorn,no,seeing someone,mostly,dropped out of,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,christianity,somewhat serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
30433,21,athletic,other,not at all,never,73.0,1000000.0,other,straight,m,virgo,no,single,mostly,graduated from,two-year college,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,other,laughing about it,and it's fun to think about,1,1,0,1,0,0,0,0
30450,45,average,anything,socially,never,64.0,60000.0,hospitality / travel,straight,m,sagittarius,no,single,mostly,graduated from,two-year college,0,0,0,1,0,0,0,0,0,has kids,doesn't want,likes cats,likes dogs,buddhism,laughing about it,but it doesn't matter,1,0,0,0,0,0,0,0
30733,36,average,anything,socially,sometimes,63.0,60000.0,clerical / administrative,straight,f,scorpio,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,doesn't want,likes cats,likes dogs,christianity,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
30818,29,full figured,vegetarian,socially,never,65.0,30000.0,sales / marketing / biz dev,straight,f,cancer,trying to quit,single,strictly,dropped out of,college/university,0,0,0,0,0,1,0,0,0,doesn't have kids,might want,likes cats,likes dogs,buddhism,very serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
30838,64,fit,vegan,socially,never,69.0,150000.0,medicine / health,straight,m,virgo,no,single,mostly,graduated from,ph.d program,0,0,0,0,1,0,0,0,0,has a kid,doesn't want,likes cats,likes dogs,judaism,not too serious about it,but it doesn't matter,1,0,1,0,0,0,1,0
30894,33,athletic,anything,rarely,never,69.0,100000.0,other,straight,f,pisces,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,has cats,likes dogs,other,somewhat serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
30944,49,full figured,anything,socially,never,67.0,20000.0,other,straight,f,scorpio,no,single,mostly,graduated from,two-year college,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,catholicism,somewhat serious about it,and it matters a lot,1,1,0,0,0,0,0,0
30945,20,average,anything,socially,never,73.0,20000.0,student,straight,m,sagittarius,sometimes,single,mostly,working on,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,other,somewhat serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
31033,24,curvy,anything,socially,never,67.0,20000.0,student,straight,f,aquarius,no,single,mostly,working on,masters program,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,christianity,very serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
31041,27,average,anything,socially,never,67.0,40000.0,science / tech / engineering,straight,f,aries,when drinking,single,no specified diet modifier,graduated from,college/university,0,0,0,1,0,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,catholicism,not too serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
31076,25,full figured,anything,socially,never,66.0,20000.0,student,straight,f,sagittarius,no,single,no specified diet modifier,working on,ph.d program,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,agnosticism,not too serious about it,but it doesn't matter,1,0,0,0,1,1,1,0
31193,23,fit,anything,socially,never,69.0,20000.0,sales / marketing / biz dev,straight,f,virgo,no,single,strictly,working on,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,other,not too serious about it,and it's fun to think about,1,1,0,0,0,0,0,0
31211,25,thin,anything,rarely,sometimes,68.0,30000.0,artistic / musical / writer,straight,m,capricorn,no,single,strictly,graduated from,college/university,0,0,0,0,0,1,0,0,0,doesn't have kids,doesn't want,likes cats,likes dogs,other,not too serious about it,but it doesn't matter,1,1,0,0,0,0,0,0
31374,53,athletic,anything,socially,never,68.0,100000.0,science / tech / engineering,straight,m,virgo,sometimes,single,mostly,graduated from,college/university,0,0,0,0,0,0,0,1,0,has a kid,might want,likes cats,likes dogs,buddhism,somewhat serious about it,and it matters a lot,1,0,0,0,0,0,0,0
31378,32,thin,anything,often,sometimes,68.0,30000.0,artistic / musical / writer,straight,m,scorpio,sometimes,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,catholicism,laughing about it,and it's fun to think about,1,0,0,0,0,0,0,0
31439,28,average,anything,socially,never,69.0,100000.0,computer / hardware / software,straight,m,aries,no,single,mostly,dropped out of,college/university,0,0,0,0,0,1,0,0,0,doesn't have kids,doesn't want,likes cats,likes dogs,agnosticism,laughing about it,and it's fun to think about,1,0,0,0,0,1,0,0
31463,42,curvy,anything,rarely,never,60.0,20000.0,artistic / musical / writer,straight,f,cancer,no,single,no specified diet modifier,dropped out of,college/university,0,0,0,0,0,1,0,0,1,has a kid,might want,has cats,likes dogs,catholicism,not too serious about it,and it's fun to think about,1,1,0,0,0,0,0,0
31588,23,athletic,anything,socially,never,66.0,20000.0,student,straight,m,aries,no,single,mostly,working on,college/university,0,0,0,1,0,0,0,0,0,doesn't have kids,might want,likes cats,has dogs,atheism,laughing about it,but it doesn't matter,1,1,0,0,0,1,0,0
31633,21,athletic,kosher,socially,never,72.0,500000.0,student,straight,m,capricorn,no,single,mostly,working on,two-year college,0,0,1,0,1,0,1,0,0,doesn't have kids,might want,likes cats,likes dogs,judaism,not too serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
31645,21,overweight,anything,rarely,never,66.0,40000.0,science / tech / engineering,straight,f,virgo,no,single,mostly,graduated from,college/university,0,0,0,1,0,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,agnosticism,somewhat serious about it,and it's fun to think about,1,0,0,0,1,0,0,0
31714,39,athletic,anything,often,sometimes,63.0,50000.0,education / academia,straight,f,sagittarius,no,single,mostly,graduated from,masters program,0,0,1,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,buddhism,laughing about it,and it's fun to think about,1,1,0,0,0,0,0,0
31794,27,a little extra,anything,not at all,never,65.0,20000.0,student,straight,f,virgo,no,single,mostly,working on,two-year college,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,has cats,has dogs,christianity,somewhat serious about it,but it doesn't matter,1,0,0,0,0,0,1,0
31925,37,athletic,anything,rarely,never,72.0,70000.0,political / government,straight,m,pisces,sometimes,single,mostly,graduated from,college/university,0,0,0,1,1,0,0,1,0,doesn't have kids,wants,likes cats,likes dogs,other,laughing about it,and it's fun to think about,1,0,0,0,0,0,0,0
32080,35,jacked,anything,rarely,never,62.0,1000000.0,medicine / health,straight,f,pisces,no,single,mostly,graduated from,college/university,0,0,0,1,0,0,0,1,0,doesn't have kids,might want,likes cats,likes dogs,judaism,laughing about it,but it doesn't matter,1,1,1,0,0,0,0,0
32155,26,used up,anything,very often,sometimes,73.0,50000.0,science / tech / engineering,straight,f,aquarius,yes,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,doesn't want,likes cats,has dogs,atheism,very serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
32206,33,thin,anything,very often,sometimes,70.0,1000000.0,executive / management,straight,m,gemini,yes,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,agnosticism,very serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
32244,25,used up,anything,socially,sometimes,73.0,30000.0,clerical / administrative,gay,m,leo,no,single,strictly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,has dogs,atheism,laughing about it,and it's fun to think about,1,0,1,0,0,0,0,0
32351,39,fit,anything,socially,never,71.0,100000.0,science / tech / engineering,straight,m,capricorn,no,single,strictly,graduated from,ph.d program,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,atheism,not too serious about it,but it doesn't matter,1,0,0,1,1,0,0,0
32403,40,athletic,anything,very often,never,73.0,100000.0,computer / hardware / software,straight,m,libra,trying to quit,single,strictly,graduated from,college/university,0,0,0,1,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,agnosticism,not too serious about it,and it's fun to think about,1,0,1,0,1,0,0,0
32517,34,athletic,vegetarian,socially,never,76.0,250000.0,sales / marketing / biz dev,straight,m,capricorn,no,single,mostly,graduated from,masters program,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,atheism,not too serious about it,but it doesn't matter,1,1,0,0,0,0,0,0
32644,24,curvy,anything,not at all,sometimes,67.0,20000.0,artistic / musical / writer,bisexual,f,virgo,yes,single,mostly,working on,two-year college,0,0,0,0,1,0,0,0,0,has a kid,doesn't want,likes cats,has dogs,atheism,laughing about it,but it doesn't matter,1,0,0,0,0,0,0,0
32801,19,used up,anything,socially,often,74.0,80000.0,sales / marketing / biz dev,straight,m,pisces,trying to quit,single,strictly,working on,space camp,0,0,0,0,1,0,0,1,0,has a kid,doesn't want,has cats,likes dogs,hinduism,somewhat serious about it,and it matters a lot,1,0,1,0,0,0,1,0
32926,28,thin,anything,rarely,never,68.0,100000.0,computer / hardware / software,straight,m,gemini,no,single,strictly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,has cats,likes dogs,catholicism,not too serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
32951,49,fit,anything,socially,never,69.0,80000.0,executive / management,straight,m,cancer,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,has a kid,might want,has cats,likes dogs,catholicism,laughing about it,but it doesn't matter,1,1,0,0,0,0,0,0
32980,23,skinny,anything,socially,never,71.0,20000.0,other,straight,m,capricorn,no,single,mostly,working on,masters program,0,1,1,0,1,0,1,0,1,doesn't have kids,might want,has cats,has dogs,christianity,somewhat serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
32988,40,a little extra,anything,socially,never,63.0,70000.0,law / legal services,straight,m,capricorn,no,single,strictly,graduated from,masters program,0,0,0,0,1,0,0,0,0,doesn't have kids,doesn't want,has cats,likes dogs,agnosticism,laughing about it,but it doesn't matter,1,1,0,0,0,0,0,0
33048,40,average,anything,socially,never,72.0,250000.0,law / legal services,straight,m,capricorn,no,single,mostly,graduated from,law school,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,agnosticism,laughing about it,but it doesn't matter,1,0,0,0,0,0,0,0
33376,24,average,anything,rarely,sometimes,75.0,20000.0,other,straight,m,capricorn,no,single,strictly,working on,two-year college,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,agnosticism,laughing about it,no specified sign modifier,1,0,0,0,0,0,1,0
33446,22,full figured,anything,socially,sometimes,72.0,50000.0,medicine / health,straight,m,sagittarius,yes,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,1,doesn't have kids,might want,likes cats,has dogs,christianity,somewhat serious about it,and it's fun to think about,1,1,0,0,0,1,1,0
33600,24,athletic,anything,rarely,never,66.0,20000.0,medicine / health,straight,m,aries,no,single,mostly,working on,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,has dogs,other,laughing about it,and it's fun to think about,1,1,0,0,0,0,0,0
33746,33,average,anything,rarely,sometimes,72.0,20000.0,other,straight,m,aquarius,no,available,mostly,dropped out of,two-year college,0,0,0,0,1,0,0,0,0,doesn't have kids,doesn't want,has cats,has dogs,atheism,not too serious about it,but it doesn't matter,1,1,0,0,0,0,0,0
33859,23,average,anything,socially,never,71.0,40000.0,other,straight,m,aquarius,no,single,mostly,working on,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,agnosticism,laughing about it,and it's fun to think about,1,0,0,0,1,1,0,0
33913,32,thin,vegetarian,socially,sometimes,64.0,80000.0,law / legal services,straight,f,aries,no,single,mostly,graduated from,ph.d program,0,0,1,0,1,0,0,0,0,doesn't have kids,wants,likes cats,has dogs,atheism,not too serious about it,but it doesn't matter,1,0,1,0,0,0,1,0
33995,34,fit,anything,socially,never,71.0,150000.0,executive / management,straight,m,scorpio,no,single,mostly,graduated from,masters program,0,0,0,0,1,0,1,0,0,doesn't have kids,might want,likes cats,likes dogs,agnosticism,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
34078,31,athletic,anything,socially,never,74.0,60000.0,student,straight,m,capricorn,no,single,mostly,working on,masters program,0,0,0,1,1,0,1,0,0,doesn't have kids,might want,likes cats,likes dogs,buddhism,not too serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
34215,34,a little extra,other,socially,never,74.0,80000.0,artistic / musical / writer,straight,m,leo,no,single,strictly,graduated from,college/university,0,0,0,0,0,0,1,0,0,doesn't have kids,wants,likes cats,likes dogs,other,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
34242,38,full figured,anything,socially,never,63.0,100000.0,sales / marketing / biz dev,straight,f,taurus,no,single,no specified diet modifier,graduated from,college/university,0,0,0,1,1,0,0,0,0,doesn't have kids,wants,has cats,has dogs,agnosticism,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
34357,32,average,anything,socially,never,69.0,70000.0,law / legal services,straight,f,scorpio,no,single,strictly,graduated from,law school,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,has cats,likes dogs,atheism,laughing about it,but it doesn't matter,1,0,0,0,0,0,0,0
34394,25,fit,anything,socially,never,60.0,70000.0,other,straight,f,gemini,no,single,strictly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,agnosticism,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
34457,30,athletic,anything,socially,sometimes,72.0,20000.0,entertainment / media,straight,m,leo,sometimes,single,mostly,graduated from,two-year college,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,has dogs,agnosticism,laughing about it,and it's fun to think about,1,1,0,0,0,0,0,0
34511,20,a little extra,anything,socially,never,71.0,20000.0,transportation,straight,m,leo,sometimes,single,mostly,working on,two-year college,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,has dogs,christianity,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
34717,52,athletic,anything,socially,never,73.0,80000.0,education / academia,straight,m,pisces,no,single,mostly,graduated from,masters program,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,buddhism,not too serious about it,but it doesn't matter,1,1,0,0,0,1,0,0
34807,23,average,anything,socially,never,70.0,20000.0,student,gay,f,aquarius,no,single,mostly,working on,two-year college,0,0,0,0,1,1,0,0,0,doesn't have kids,wants,likes cats,has dogs,christianity,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
34857,32,a little extra,anything,not at all,sometimes,76.0,40000.0,artistic / musical / writer,straight,m,virgo,yes,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,agnosticism,very serious about it,and it's fun to think about,1,0,1,0,0,0,0,0
34864,28,average,anything,socially,never,68.0,80000.0,executive / management,straight,m,virgo,no,single,mostly,graduated from,college/university,0,0,0,0,0,1,0,0,0,doesn't have kids,might want,likes cats,likes dogs,agnosticism,not too serious about it,but it doesn't matter,1,1,0,0,0,0,0,0
35066,30,fit,anything,socially,sometimes,67.0,30000.0,other,straight,m,gemini,when drinking,single,mostly,working on,two-year college,0,0,0,0,0,0,0,0,1,has a kid,doesn't want,likes cats,likes dogs,other,laughing about it,and it's fun to think about,1,0,0,0,0,0,0,0
35259,31,fit,anything,socially,sometimes,71.0,20000.0,other,straight,m,scorpio,no,single,mostly,graduated from,two-year college,0,0,0,0,1,0,1,0,0,has a kid,might want,likes cats,likes dogs,other,not too serious about it,and it's fun to think about,1,1,1,0,0,1,0,0
